Price,sqft,beds,bath,age,stories,vacant
282.5,2552,3,3,7,1,0
88,1440,3,2,12,1,0
75,1200,3,1,0,1,0
164,2125,4,2,21,1,0
145,1948,4,2,6,1,0
186,1672,2,2,13,1,0
106,1106,2,1,31,1,0
97.5,1460,3,1,47,1,0
176,2250,4,3,8,2,0
59.6,1394,2,1,48,1,0
155,1800,5,2,1,1,0
157.5,2456,4,3,6,2,0
82.5,1180,3,2,28,1,0
115,1640,3,2,18,1,0
64.5,785,2,1,58,1,0
67,990,2,2,70,1,0
84.95,1390,4,2,50,1,0
145,1839,4,2,53,2,0
89.95,1385,3,2,7,1,0
100,1094,3,2,10,1,0
132.5,1420,3,2,33,1,0
106.2,1477,3,1,56,1,0
112,1519,3,2,20,1,0
161,1532,3,2,31,1,0
124,2224,4,3,15,2,0
103,1400,2,2,7,1,0
238,2500,3,5,47,2,0
70,1384,3,1,35,1,0
264,2800,3,2,27,1,0
105.5,1560,3,2,37,1,0
92.5,1200,3,2,21,1,0
143.5,1900,4,3,39,1,0
113.95,1362,3,2,11,1,0
74.5,1249,3,2,16,1,0
130,2030,4,3,17,2,0
143,2678,5,3,6,2,0
122,2034,4,3,17,1,0
87,1195,3,2,18,1,0
139,1844,4,2,25,1,0
114,1942,3,2,20,1,0
128,2000,4,2,20,1,0
68,1000,3,1,23,1,0
127,1660,3,2,0,2,0
133,1760,3,2,7,1,0
97,1489,3,2,17,1,0
88,1102,3,1,41,1,0
86,1014,3,1,45,1,0
155,1800,3,2,74,2,0
112,1129,3,1,46,1,0
107,1678,3,3,6,2,0
103,1653,4,2,0,1,0
77,1350,3,2,28,1,0
127.5,1970,4,2,5,1,0
79.5,1190,3,2,16,1,0
121.25,1630,4,3,69,2,0
120,1900,3,2,19,1,0
129,1478,3,2,15,1,0
121,1912,4,2,20,1,0
126.2,1850,3,2,13,1,0
125,1657,3,2,8,1,0
103.5,1666,3,2,32,1,0
117.5,1832,4,2,16,1,0
83,2000,4,2,72,2,0
150,1753,3,2,19,1,0
165,1680,4,3,5,1,0
105.5,1671,3,2,10,1,0
210,3074,4,3,25,2,0
112.5,1517,3,2,20,1,0
189,1685,2,2,16,1,0
130.5,1487,3,2,15,1,0
89.8,1400,3,2,25,1,0
95,1490,3,2,43,1,0
87.5,1450,3,2,30,1,0
64,1050,3,1,56,1,0
131,2226,4,3,14,2,0
67.5,1115,3,1,53,1,0
82.25,1031,3,1,41,1,0
117.5,1655,2,2,40,1,0
92,1227,3,2,6,1,0
120,1700,2,1,57,1,0
112,1866,4,2,18,1,0
158.5,1676,3,2,40,1,0
121,1755,3,2,11,1,0
81,1249,3,2,16,1,0
60,1128,3,1,75,1,0
82,999,3,1,15,1,0
89.5,1700,3,3,20,2,0
77.5,1100,2,1,60,1,0
88.5,1302,3,1,42,1,0
75,1064,3,2,22,1,0
105,1650,3,2,27,1,0
145,2678,5,3,6,2,1
360,3792,6,5,3,2,1
178.5,3000,3,3,40,1,1
134,2240,3,2,0,1,1
85,1216,3,2,11,1,1
104.5,1679,3,2,45,1,1
100,1650,3,2,20,1,1
92.5,1163,2,1,71,1,1
119.5,2010,3,2,96,2,1
50.005,917,2,1,45,1,1
89.9,1064,3,2,0,1,1
129,2041,4,3,6,2,1
106,1684,3,2,14,1,1
129,2350,4,3,5,2,1
111.999,1440,3,2,0,1,1
81.2,1120,3,2,1,1,1
61,1108,3,2,45,1,1
130,1583,3,2,6,1,1
89.7,1224,3,2,34,1,1
132,2208,4,3,5,2,1
67.565,1424,2,1,30,1,1
79.9,1064,3,2,0,1,1
89.9,1227,3,2,6,1,1
146,1802,3,3,11,2,1
55,1097,3,2,15,1,1
139.95,1986,3,2,53,1,1
79.9,1515,3,2,11,1,1
69,1204,3,2,25,1,1
135,2124,3,2,16,1,1
93,1512,3,2,48,1,1
75.3,988,3,1,40,1,1
75.5,1536,3,2,21,1,1
93,1042,3,2,1,1,1
60.5,868,2,1,50,1,1
73.501,1325,2,2,55,2,1
80,1137,3,2,10,1,1
124.9,1973,4,3,6,2,1
78,1257,3,2,12,1,1
66,1052,2,1,50,1,1
125,2226,4,3,17,2,1
69.65,1340,3,2,22,2,1
95,1014,3,1,42,1,1
91,1500,3,2,35,1,1
98.95,1333,4,2,0,1,1
159.95,1920,4,3,0,1,1
179.95,2813,4,3,28,1,1
124.5,2134,4,3,18,2,1
116.25,1811,3,2,4,1,1
89,1719,4,2,25,1,1
75,1214,3,2,18,1,1
161,2194,4,2,55,2,1
126,1661,3,2,26,1,1
85,1472,3,2,24,1,1
190.5,2610,4,3,15,2,1
127,1900,4,2,12,1,1
115,1767,3,2,25,1,1
79.5,1525,3,2,5,1,1
79.95,1044,3,2,1,1,1
68,1131,2,2,42,1,1
107,1254,3,2,21,1,1
95,1364,3,2,14,2,1
111.6,1646,4,3,5,2,1
51.9,1189,3,2,57,1,1
58.9,1088,3,2,17,1,1
60,1135,4,2,14,1,1
59,770,2,1,47,1,1
70,1148,3,2,20,1,1
89.9,1064,3,2,0,1,1
180,2845,5,4,3,2,1
83.5,1040,3,2,5,1,1
105.505,1665,3,2,16,1,1
192,1705,2,2,0,1,1
71,908,3,1,37,1,1
83,1480,3,2,54,1,1
91.5,1413,3,2,14,1,1
99,1706,3,2,39,1,1
160.75,1724,3,2,0,1,1
77.7,1040,3,2,4,1,1
82.9,1093,3,2,10,1,1
105,1000,3,1,55,1,1
100,2296,4,3,16,2,1
134.5,2137,3,2,43,1,1
88.9,1080,2,1,50,1,1
75,1427,3,2,24,1,1
102,1649,3,2,44,1,1
102,1280,3,2,5,1,1
77,978,2,1,66,1,1
114.45,2224,4,3,12,2,1
85,1289,3,2,45,1,1
152,2359,5,3,6,2,1
111,1642,3,2,1,1,1
79.95,1028,3,1,33,1,1
146,2134,4,3,16,2,1
68,1141,3,2,10,1,1
80,1900,4,2,36,1,1
203,2200,4,3,10,2,1
127.5,2163,4,3,16,2,1
77,1211,3,1,47,1,1
112,1943,4,3,5,2,1
89,1326,3,2,33,1,1
70,1146,3,2,13,1,1
56,1427,3,2,0,1,1
57,1000,3,1,20,1,1
75.3,1525,3,2,5,1,1
100.16,1605,3,2,17,1,1
83.9,1552,3,2,29,1,1
110,1666,4,2,20,1,1
87,1360,3,2,42,1,1
105.9,1503,3,2,13,1,1
105,1655,3,2,16,1,1
70,1475,3,3,4,2,1
85,1465,3,2,10,1,1
112,1367,3,2,16,1,1
63.575,960,3,2,17,1,1
78,1067,3,2,10,1,1
128,1978,4,3,17,2,1
130,1689,3,2,28,1,1
87.5,1446,3,2,40,1,1
72.5,998,2,1,45,1,1
105,2108,4,3,16,1,1
62,1271,3,2,2,1,1
157,2144,3,3,16,2,1
151,1763,3,3,0,2,1
126.5,1668,3,2,19,1,1
124,1979,4,3,18,2,1
140,2510,4,3,5,2,1
52,796,2,1,0,1,1
121.5,2034,5,2,19,1,1
91.3,1425,3,2,15,1,1
68.5,1300,3,2,50,1,1
52.4,803,2,1,23,1,1
146,1999,4,3,18,2,1
101.95,1694,3,2,44,1,1
74.5,1120,3,2,17,1,1
109.95,1674,3,2,17,1,1
143.75,2204,3,2,21,1,1
95,1338,4,2,13,1,1
88.5,1477,3,2,31,1,1
122,1800,4,3,7,2,1
66.95,954,3,1,18,1,1
108,1634,3,2,40,1,1
144,2678,5,3,7,2,1
77,957,2,1,42,1,1
120,1536,3,2,66,1,1
144.5,2534,5,3,2,2,1
292.45,2863,4,4,3,2,1
92.5,1329,4,2,47,1,1
57,1111,3,1,46,1,1
109,1562,4,2,5,2,1
115.999,1440,3,2,0,1,1
103,1655,3,2,18,1,1
88.5,1029,3,1,43,1,1
126,1980,4,2,17,1,1
88.5,1536,3,2,16,1,1
85,1229,2,2,4,1,1
96.5,1057,3,1,35,1,1
66.5,950,2,1,10,1,1
73.5,1150,3,2,31,1,1
135,1877,3,2,33,1,1
106.5,1630,4,3,2,2,1
70.552,1026,2,1,48,1,1
156,1920,3,3,0,2,1
67,960,2,2,36,2,1
102,1485,3,2,20,1,1
76,1389,3,2,21,1,1
74,751,2,1,0,1,1
68,1154,3,2,16,1,1
124,2226,4,3,16,2,1
99.5,2100,3,2,57,1,1
89,1224,3,2,35,1,1
149.111,1440,3,2,0,1,1
142.5,2436,4,4,22,2,1
150.5,1723,3,2,4,1,1
105,1849,4,2,16,1,1
168,2120,4,3,7,2,1
77,1176,3,1,42,1,1
73,1086,2,2,12,1,1
158.5,1551,2,2,0,1,1
89,1642,3,1,71,1,1
76,1120,3,2,1,1,1
62,1932,3,2,20,1,1
124.7,2117,4,3,16,2,1
85.5,1124,2,1,48,1,1
90,1457,3,2,20,1,1
102.5,1387,3,2,18,1,1
285,2640,4,2,0,1,1
115,1760,3,2,7,1,1
113,1694,3,2,11,1,1
56.5,980,2,1,55,1,1
90,1183,3,2,38,1,1
66,1410,3,2,17,1,1
145,2703,5,3,16,2,1
98,1496,3,2,30,1,1
99.5,1148,3,2,15,1,1
105,1816,4,2,16,1,1
87.5,1700,3,2,44,1,1
74.5,1258,3,2,5,1,1
75.5,1154,3,2,16,1,1
95,1288,2,1,66,1,1
76.4,852,2,1,47,1,1
159.45,2243,4,2,15,1,1
106.8,1677,3,2,32,2,1
197.5,2117,4,3,4,2,1
93,1524,4,2,12,1,1
149.99,2348,4,3,0,2,1
145.5,1705,3,2,23,1,1
106,1623,3,2,19,1,1
144.95,1724,3,3,0,2,1
90,1385,2,2,6,1,1
82,1171,3,2,37,1,1
116,1797,3,2,16,1,1
69,1118,3,2,16,1,1
54,1280,3,2,0,1,1
55,938,2,1,10,1,1
92.9,1832,4,2,21,1,1
146,1551,3,2,0,1,1
104.5,1667,3,2,13,1,1
94,1885,3,2,17,1,1
94,1791,3,2,91,2,1
113.5,1681,3,2,24,1,1
115,1501,3,2,11,1,1
65.101,764,2,1,75,1,1
110,1695,3,2,15,1,1
78,1415,3,2,15,1,1
87.95,1600,3,2,16,1,1
162.95,2125,4,3,0,2,1
84.9,1064,3,2,0,1,1
83.5,1064,3,1,43,1,1
165,1700,3,2,60,2,1
97,1552,3,2,16,1,1
101,1446,3,2,7,1,1
77,1072,2,1,69,1,1
100,1999,2,2,84,2,1
127,1426,3,1,0,1,1
78,1324,3,2,22,1,1
90.25,2457,4,3,84,2,1
76,1175,3,1,43,1,1
89,1350,3,2,0,1,1
96.5,1455,3,2,5,1,1
75,1101,3,1,46,1,1
128,1686,3,2,20,1,1
78.5,1455,3,2,13,1,1
80,1201,3,2,27,1,1
89.9,1064,3,2,0,1,1
111.999,1440,3,2,0,1,1
91.5,1457,3,2,20,1,1
65,1195,3,2,23,2,1
67.95,1092,3,2,24,1,1
86,1291,3,2,6,1,1
208.55,2951,3,3,16,1,1
83.25,1226,3,2,20,1,1
178.71,2215,4,2,57,2,1
139.86,1677,3,2,28,1,1
94.35,1486,3,2,26,1,1
211.455,2636,4,3,17,2,1
140.97,1919,4,2,14,1,1
127.65,1784,3,2,27,1,1
88.245,1540,3,2,7,1,1
88.7445,1054,3,2,3,1,1
75.48,1142,2,2,44,1,1
118.77,1266,3,2,23,1,1
92.15,1377,3,2,16,2,1
108.252,1662,4,3,7,2,1
50.343,1200,3,2,59,1,1
57.133,1098,3,2,19,1,1
58.2,1146,4,2,16,1,1
57.23,777,2,1,49,1,1
67.9,1159,3,2,22,1,1
87.203,1074,3,2,2,1,1
174.6,2873,5,4,5,2,1
80.995,1050,3,2,7,1,1
102.33985,1681,3,2,18,1,1
186.24,1722,2,2,2,1,1
68.87,917,3,1,39,1,1
80.51,1494,3,2,56,1,1
88.755,1427,3,2,16,1,1
96.03,1723,3,2,41,1,1
155.9275,1741,3,2,2,1,1
75.369,1050,3,2,6,1,1
80.413,1103,3,2,12,1,1
101.85,1010,3,1,57,1,1
97,2318,4,3,18,2,1
130.465,2158,3,2,45,1,1
86.233,1090,2,1,52,1,1
72.75,1441,3,2,26,1,1
98.94,1665,3,2,46,1,1
98.94,1292,3,2,7,1,1
74.69,987,2,1,68,1,1
111.0165,2246,4,3,14,2,1
82.45,1301,3,2,47,1,1
147.44,2382,5,3,8,2,1
107.67,1658,3,2,3,1,1
77.5515,1038,3,1,35,1,1
141.62,2155,4,3,18,2,1
65.96,1152,3,2,12,1,1
77.6,1919,4,2,38,1,1
225.33,2222,4,3,12,2,1
141.525,2184,4,3,18,2,1
85.47,1223,3,1,49,1,1
124.32,1962,4,3,7,2,1
98.79,1339,3,2,35,1,1
77.7,1157,3,2,15,1,1
62.16,1441,3,2,2,1,1
63.27,1010,3,1,22,1,1
83.583,1540,3,2,7,1,1
111.1776,1621,3,2,19,1,1
93.129,1567,3,2,31,1,1
122.1,1682,4,2,22,1,1
96.57,1373,3,2,44,1,1
117.549,1518,3,2,15,1,1
116.55,1671,3,2,18,1,1
77.7,1489,3,3,6,2,1
94.35,1479,3,2,12,1,1
124.32,1380,3,2,18,1,1
70.56825,969,3,2,19,1,1
86.58,1077,3,2,12,1,1
142.08,1997,4,3,19,2,1
144.3,1705,3,2,30,1,1
97.125,1460,3,2,42,1,1
80.475,1007,2,1,47,1,1
116.55,2129,4,3,18,1,1
68.82,1283,3,2,4,1,1
174.27,2165,3,3,18,2,1
167.61,1780,3,3,2,2,1
140.415,1684,3,2,21,1,1
137.64,1998,4,3,20,2,1
155.4,2535,4,3,7,2,1
57.72,803,2,1,2,1,1
134.865,2054,5,2,21,1,1
101.343,1439,3,2,17,1,1
76.035,1313,3,2,52,1,1
58.164,811,2,1,25,1,1
162.06,2018,4,3,20,2,1
113.1645,1710,3,2,46,1,1
82.695,1131,3,2,19,1,1
122.0445,1690,3,2,19,1,1
159.5625,2226,3,2,23,1,1
105.45,1351,4,2,15,1,1
98.235,1491,3,2,33,1,1
135.42,1818,4,3,9,2,1
74.3145,963,3,1,20,1,1
119.88,1650,3,2,42,1,1
159.84,2704,5,3,9,2,1
85.47,966,2,1,44,1,1
133.2,1551,3,2,68,1,1
160.395,2559,5,3,4,2,1
324.6195,2891,4,4,5,2,1
102.675,1342,4,2,49,1,1
63.27,1122,3,1,48,1,1
120.99,1577,4,2,7,2,1
